Α/α;ΚΩΔΙΚΟΣ;ΤΕΛΙΚΕΣ ΟΝΟΜΑΣΙΕΣ ΙΑΤΡΙΚΩΝ ΠΡΑΞΕΩΝ;;;;;
Γ. ΑΠΕΙΚΟΝΙΣΗ – ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ ;;;;;;;
Γ.1;ΑΚΤΙΝΟΔΙΑΓΝΩΣΗ ΚΑΤΑ ΠΕΡΙΟΧΕΣ. ΔΙΑΦΟΡΕΣ ΜΕΘΟΔΟΙ;;;;;;
6609;K500001;ΜΥΕΛΟΓΡΑΦΙΑ;;;;;
6610;K500011;ΑΝΕΝΕΡΓΟΣ;;;;;
6611;K500041;ΑΚΤΙΝΟΓΡΑΦΙΑ ΟΦΘΑΛΜΙΚΟΥ ΚΟΓΧΟΥ;;;;;
6612;K500181;ΑΚΤΙΝΟΓΡΑΦΙΑ ΚΑΤΩ ΓΝΑΘΟΥ ΜΕΡΙΚΗ ΕΤΕΡΟΠΛΕΥΡΗ (2 ΠΡΟΒΟΛΕΣ);;;;;
6613;K500201;ΑΚΤΙΝΟΓΡΑΦΙΑ ΚΑΤΩ ΓΝΑΘΟΥ ΠΛΗΡΗΣ;;;;;
6614;K500221;ΑΚΤΙΝΟΓΡΑΦΙΑ ΜΑΣΤΟΕΙΔΟΥΣ ΑΠΟΦΥΣΗΣ;;;;;
6615;K500241;ΑΚΤΙΝΟΓΡΑΦΙΑ ΜΑΣΤΟΕΙΔΩΝ ΑΠΟΦΥΣΕΩΝ ΣΥΓΚΡΙΤΙΚΗ;;;;;
6616;K500249;ΑΚΤΙΝΟΓΡΑΦΙΑ ΕΣΩ ΑΚΟΥΣΤΙΚΩΝ ΠΟΡΩΝ;;;;;
6617;K500261;ΑΚΤΙΝΟΓΡΑΦΙΑ ΟΣΤΩΝ ΠΡΟΣΩΠΟΥ;;;;;
6618;K500281;ΔΙΑΓΡΑΦΕΤΑΙ;;;;;
6619;K500301;ΑΚΤΙΝΟΓΡΑΦΙΑ ΡΙΝΙΚΩΝ ΟΣΤΩΝ ;;;;;
6620;K500321;ΔΑΚΡΥΟΚΥΣΤΟΓΡΑΦΙΑ;;;;;
6621;K500361;ΑΝΕΝΕΡΓΟΣ;;;;;
6622;K500381;ΑΝΕΝΕΡΓΟΣ;;;;;
6623;K500401;ΑΚΤΙΝΟΓΡΑΦΙΑ ΙΓΜΟΡΕΙΩΝ ΑΝΤΡΩΝ ΚΑΙ ΜΕΤΩΠΙΑΙΩΝ ΚΟΛΠΩΝ - ΠΩΓΩΝΟΡΙΝΙΚΗ ΠΡΟΒΟΛΗ;;;;;
6624;K500421;ΑΚΤΙΝΟΓΡΑΦΙΑ ΠΑΡΑΡΡΙΝΙΩΝ ΚΟΛΠΩΝ - ΜΕΤΩΠΟΡΙΝΙΚΗ ΠΡΟΒΟΛΗ;;;;;
6625;K500461;ΑΚΤΙΝΟΓΡΑΦΙΑ ΤΟΥΡΚΙΚΟΥ ΕΦΙΠΠΙΟΥ;;;;;
6626;K500481;ΑΚΤΙΝΟΓΡΑΦΙΑ ΚΡΑΝΙΟΥ ΚΑΤΑ ΜΕΤΩΠΟ;;;;;
6627;K500501;ΑΚΤΙΝΟΓΡΑΦΙΑ ΚΡΑΝΙΟΥ ΠΛΑΓΙΑ;;;;;
6628;K500581;ΑΚΤΙΝΟΓΡΑΦΙΑ ΕΝΟΣ ΟΔΟΝΤΟΣ ;;;;;
6629;K500601;ΑΝΕΝΕΡΓΟΣ;;;;;
6630;K500621;ΑΝΕΝΕΡΓΟΣ;;;;;
6631;K500637;ΑΝΕΝΕΡΓΟΣ;;;;;
6632;K500641;ΑΚΤΙΝΟΓΡΑΦΙΑ ΚΡΟΤΑΦΟΓΝΑΘΙΚΗΣ ΑΡΘΡΩΣΗΣ ΜΕ ΑΝΟΙΚΤΟ ΚΑΙ ΚΛΕΙΣΤΟ ΣΤΟΜΑ ;;;;;
6633;K500645;ΑΝΕΝΕΡΓΟΣ;;;;;
6634;K500653;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΚΡΟΤΑΦΟΓΝΑΘΙΚΗΣ ΑΡΘΡΩΣΗΣ ΜΕ ΑΝΟΙΚΤΟ ΣΤΟΜΑ ΧΩΡΙΣ ΠΑΡΑΜΑΓΝΗΤΙΚΗ ΟΥΣΙΑ;;;;;
6635;K500681;ΑΚΤΙΝΟΓΡΑΦΙΑ ΠΛΑΓΙΑ ΚΕΦΑΛΟΜΕΤΡΙΚΗ;;;;;
6636;K500691;ΟΡΘΟΠΑΝΤΟΤΟΜΟΓΡΑΦΙΑ;;;;;
6637;K500701;ΑΚΤΙΝΟΓΡΑΦΙΑ  ΤΡΑΧΗΛΟΥ ΚΑΤΑ ΜΕΤΩΠΟ;;;;;
6638;K500721;ΑΚΤΙΝΟΣΚΟΠΙΚΟΣ ΕΛΕΓΧΟΣ ΦΑΡΥΓΓΑ - ΥΠΟΦΑΡΥΓΓΑ;;;;;
6639;K500723;ΑΝΕΝΕΡΓΟΣ;;;;;
6640;K500727;ΛΑΡΥΓΓΟΓΡΑΦΙΑ;;;;;
6641;K500741;ΑΝΕΝΕΡΓΟΣ;;;;;
6642;K500761;ΣΙΕΛΟΓΡΑΦΙΑ;;;;;
6643;K500881;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΕΓΚΕΦΑΛΟΥ, ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ;;;;;
6644;K500901;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΕΓΚΕΦΑΛΟΥ, ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α);;;;;
6645;K500921;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΕΓΚΕΦΑΛΟΥ, ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ, ΑΚΟΛΟΥΘΕΙΤΑΙ ΑΠΟ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α) ΚΑΙ ΕΠΙΠΛΕΟΝ ΤΟΜΕΣ;;;;;
6646;K500941;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΟΦΘΑΛΜΙΚΩΝ ΚΟΓΧΩΝ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ;;;;;
6647;K500943;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΟΦΘΑΛΜΙΚΩΝ ΚΟΓΧΩΝ ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α);;;;;
6648;K500945;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΟΦΘΑΛΜΙΚΩΝ ΚΟΓΧΩΝ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ, ΑΚΟΛΟΥΘΕΙΤΑΙ ΑΠΟ ΣΚΙΑΓΡΑΦΙΚΟ(Α)  ΥΛΙΚΟ(Α) ΚΑΙ ΕΠΙΠΛΕΟΝ ΤΟΜΕΣ;;;;;
6649;K500953;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΣΠΛΑΧΝΙΚΟΥ ΚΡΑΝΙΟΥ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ;;;;;
6650;K500955;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΣΠΛΑΧΝΙΚΟΥ ΚΡΑΝΙΟΥ ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ;;;;;
6651;K500957;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΣΠΛΑΧΝΙΚΟΥ ΚΡΑΝΙΟΥ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ, ΑΚΟΛΟΥΘΕΙΤΑΙ ΑΠΟ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α) ΚΑΙ ΕΠΙΠΛΕΟΝ ΤΟΜΕΣ;;;;;
6652;K500961;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΤΡΑΧΗΛΟΥ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ;;;;;
6653;K500963;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΤΡΑΧΗΛΟΥ ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α);;;;;
6654;K500965;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΤΡΑΧΗΛΟΥ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ ΑΚΟΛΟΥΘΕΙΤΑΙ ΑΠΟ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α) ΚΑΙ ΕΠΙΠΛΕΟΝ ΤΟΜΕΣ;;;;;
6655;K500973;ΑΞΟΝΙΚΗ ΑΓΓΕΙΟΓΡΑΦΙΑ, ΕΓΚΕΦΑΛΟΥ, ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΑΝΕΥ ΣΚΙΑΓΡΑΦΙΚΟΥ ΕΙΚΟΝΩΝ, ΕΦΟΣΟΝ ΕΧΟΥΝ ΔΙΕΝΕΡΓΗΘΕΙ, ΚΑΙ ΑΝΑΣΥΝΘΕΣΗ ΕΙΚΟΝΩΝ;;;;;
6656;K500977;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ, ΤΡΑΧΗΛΟΥ, ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α);;;;;
