|Department   |Year |KEN_Code|Provider         |Total_Hospitalizations|Base_Revenue|Extra_Revenue|Total_Revenue|
|-------------|-----|--------|-----------------|----------------------|------------|-------------|-------------|
|Ακτινολογικό |2,026|S01Α    |ΕΦΚΑ             |1                     |540         |5,940        |1,585.01     |
|Ακτινολογικό |2,026|W10Α    |ιδιωτική ασφάλεια|1                     |2,014       |4,699.333333 |590.78       |
|Ακτινολογικό |2,026|Κ03Χ    |ΕΦΚΑ             |1                     |11,734      |0            |641          |
|Ακτινολογικό |2,026|Κ14Χ    |ιδιωτική ασφάλεια|1                     |1,277       |7,662        |2,435.16     |
|Ακτινολογικό |2,026|Κ33Α    |ιδιωτική ασφάλεια|1                     |3,132       |240.923077   |1,247.85     |
|Ακτινολογικό |2,026|Μ12Μα   |ανασφάλιστος     |1                     |5,478       |0            |4,046.51     |
|Ακτινολογικό |2,026|Μ19Χ    |ανασφάλιστος     |1                     |1,904       |0            |3,186.11     |
|Ακτινολογικό |2,026|Μ27Μ    |ΕΦΚΑ             |1                     |2,179       |968.444444   |3,107.39     |
|Ακτινολογικό |2,026|Μ28Χ    |ιδιωτική ασφάλεια|1                     |1,379       |0            |4,999.19     |
|Ακτινολογικό |2,026|Μ69Χ    |ιδιωτική ασφάλεια|1                     |428         |1,284        |1,593.39     |
|Ακτινολογικό |2,026|Ο02Α    |ανασφάλιστος     |1                     |1,611       |2,148        |4,445.2      |
|Ακτινολογικό |2,026|Ο03Α    |ανασφάλιστος     |1                     |837         |837          |1,504.83     |
|Ακτινολογικό |2,026|Π05Μα   |ανασφάλιστος     |1                     |3,329       |0            |2,610.82     |
|Ακτινολογικό |2,026|Υ04Χβ   |ανασφάλιστος     |1                     |1,605       |2,140        |3,771.11     |
|Ακτινολογικό |2,026|Φ02Χ    |ιδιωτική ασφάλεια|1                     |8,412       |0            |709.87       |
|Ακτινολογικό |2,026|Φ11Μ    |ΕΦΚΑ             |1                     |3,657       |0            |3,713.17     |
|Ακτινολογικό |2,026|Χ48Α    |ΕΦΚΑ             |1                     |3,261       |1,304.4      |768.86       |
|Γυναικολογικό|2,026|S24Χ    |ΕΦΚΑ             |1                     |216         |216          |2,750.31     |
|Γυναικολογικό|2,026|Α33Χ    |ανασφάλιστος     |1                     |607         |809.333333   |3,370.2      |
|Γυναικολογικό|2,026|Γ10Α    |ΕΦΚΑ             |1                     |425         |3,400        |3,620.16     |
|Γυναικολογικό|2,026|Γ22Α    |ιδιωτική ασφάλεια|1                     |257         |3,598        |553.66       |
|Γυναικολογικό|2,026|Ζ01Α    |ανασφάλιστος     |1                     |36,068      |0            |3,395.85     |
|Γυναικολογικό|2,026|Κ09Μβ   |ανασφάλιστος     |1                     |3,617       |0            |863.24       |
|Γυναικολογικό|2,026|Κ43Χ    |ιδιωτική ασφάλεια|1                     |397         |1,191        |650.64       |
|Γυναικολογικό|2,026|Μ19Χ    |ιδιωτική ασφάλεια|1                     |1,904       |952          |2,349.41     |
|Γυναικολογικό|2,026|Ν38Χ    |ΕΦΚΑ             |1                     |879         |879          |1,164.22     |
|Γυναικολογικό|2,026|Π44Χ    |ΕΦΚΑ             |1                     |1,073       |536.5        |2,448.54     |
|Γυναικολογικό|2,026|Π47Χ    |ανασφάλιστος     |1                     |335         |1,507.5      |2,406.06     |
|Γυναικολογικό|2,026|ΤΚΑ 16  |ανασφάλιστος     |1                     |1,000       |0            |4,121.53     |
|Γυναικολογικό|2,026|Υ09Χα   |ΕΦΚΑ             |1                     |1,919       |2,398.75     |1,674.02     |
|Γυναικολογικό|2,026|Φ22Χ    |ανασφάλιστος     |1                     |827         |4,962        |2,993.06     |
|Γυναικολογικό|2,026|Χ41Α    |ανασφάλιστος     |1                     |3,066       |0            |1,730.42     |
|Δερματολογικό|2,026|Α31Μ    |ΕΦΚΑ             |1                     |1,798       |0            |794.93       |
|Δερματολογικό|2,026|Β24Α    |ΕΦΚΑ             |1                     |296         |3,552        |1,988.46     |
|Δερματολογικό|2,026|Γ20Χ    |ΕΦΚΑ             |1                     |755         |2,265        |932.71       |
|Δερματολογικό|2,026|Δ27Χ    |ΕΦΚΑ             |1                     |199         |2,189        |952.63       |
|Δερματολογικό|2,026|Δ28Α    |ΕΦΚΑ             |1                     |382         |2,674        |2,033.25     |
|Δερματολογικό|2,026|Κ08Χ    |ανασφάλιστος     |1                     |5,561       |0            |4,897.99     |
|Δερματολογικό|2,026|Ν28Μ    |ιδιωτική ασφάλεια|1                     |1,907       |0            |2,705.05     |
