|substance_id|substance_name                                                                                                                                                                                                                                                                                                                                                                                                                              |num_allergic_patients|num_medications_containing|
|------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------|--------------------------|
|83          |Extract Of Fresh Almond Mistletoe Herb                                                                                                                                                                                                                                                                                                                                                                                                      |1                    |2                         |
|193         |Acetylsalicylic Acid Ph. Eur.                                                                                                                                                                                                                                                                                                                                                                                                               |1                    |11                        |
|196         |Folic Acid Hydrate                                                                                                                                                                                                                                                                                                                                                                                                                          |1                    |6                         |
|265         |Pregabalin                                                                                                                                                                                                                                                                                                                                                                                                                                  |1                    |413                       |
|376         |Loperamide Hydrochloride                                                                                                                                                                                                                                                                                                                                                                                                                    |1                    |330                       |
|462         |Healing Earth                                                                                                                                                                                                                                                                                                                                                                                                                               |1                    |14                        |
|521         |Vipera Berus Dil. D12, Placenta Totalis Suis D30, Pulsatilla Pratensis Dil. D30, Aesculus Hippocastanum Dil. D30, Atropa Bella-Donna Dil. D12, Silybum Marianum Dil. D12, Calcium Fluoratum Dil. D30, Secale Cornutum Dil. D30, Daphne Mezereum Dil. D12, Hamamelis Virginiana Dil. D6                                                                                                                                                      |1                    |1                         |
|558         |Alprazolam                                                                                                                                                                                                                                                                                                                                                                                                                                  |1                    |236                       |
|615         |Hydrogen Peroxide                                                                                                                                                                                                                                                                                                                                                                                                                           |1                    |20                        |
|653         |Trifarotene                                                                                                                                                                                                                                                                                                                                                                                                                                 |1                    |28                        |
|721         |Atropine Sulfate                                                                                                                                                                                                                                                                                                                                                                                                                            |1                    |114                       |
|1,025       |Dactylis Glomerata L., Phleum Pratense L.                                                                                                                                                                                                                                                                                                                                                                                                   |1                    |3                         |
|1,086       |Euroglyphus Maynei Extract                                                                                                                                                                                                                                                                                                                                                                                                                  |1                    |16                        |
|1,087       |Festuca Pratensis Hudson                                                                                                                                                                                                                                                                                                                                                                                                                    |1                    |20                        |
|1,128       |Tilia                                                                                                                                                                                                                                                                                                                                                                                                                                       |1                    |21                        |
|1,141       |Xanthium Strumarium L.                                                                                                                                                                                                                                                                                                                                                                                                                      |1                    |4                         |
|1,158       |Tezacaftor, Deutivacaftor, Vanzacaftor                                                                                                                                                                                                                                                                                                                                                                                                      |1                    |4                         |
|1,210       |Pisum Sativum                                                                                                                                                                                                                                                                                                                                                                                                                               |1                    |5                         |
|1,223       |Tomato                                                                                                                                                                                                                                                                                                                                                                                                                                      |1                    |9                         |
|1,255       |Ezetimibe, Rosuvastatin Calcium                                                                                                                                                                                                                                                                                                                                                                                                             |1                    |71                        |
|1,273       |Cerebrolysin Concentrate                                                                                                                                                                                                                                                                                                                                                                                                                    |1                    |11                        |
|1,320       |Aminophylline                                                                                                                                                                                                                                                                                                                                                                                                                               |1                    |19                        |
|1,354       |Amlodipine, Hydrochlorothiazide, Ramipril                                                                                                                                                                                                                                                                                                                                                                                                   |1                    |17                        |
|1,378       |Talc, Zinc Oxide                                                                                                                                                                                                                                                                                                                                                                                                                            |1                    |1                         |
|1,432       |Codeine Phosphate Sesquihydrate, Metamizole Sodium, Caffeine                                                                                                                                                                                                                                                                                                                                                                                |1                    |1                         |
|1,458       |Testosterone                                                                                                                                                                                                                                                                                                                                                                                                                                |1                    |92                        |
|1,465       |Propofol                                                                                                                                                                                                                                                                                                                                                                                                                                    |1                    |140                       |
|1,532       |Buspirone                                                                                                                                                                                                                                                                                                                                                                                                                                   |1                    |6                         |
|1,606       |Nifedipine, Lidocaine Hydrochloride                                                                                                                                                                                                                                                                                                                                                                                                         |1                    |5                         |
|1,707       |Chelidonium Majus Dil. D 6, Lycopodium Clavatum Dil D 6, Mentha Piperita Dil. D4, Taraxacum Officinale Dil. D4, Silybum Marianum Dil. D4, Atropa Belladonna Dil. D4, Berberis Vulgaris Dil. D4, Lachesis Dil. D12                                                                                                                                                                                                                           |1                    |1                         |
|1,790       |Sodium Chloride, Glucose                                                                                                                                                                                                                                                                                                                                                                                                                    |1                    |39                        |
|1,922       |Enoxaparin Sodium                                                                                                                                                                                                                                                                                                                                                                                                                           |1                    |237                       |
|1,923       |Folic Acid, Iron                                                                                                                                                                                                                                                                                                                                                                                                                            |1                    |21                        |
|1,958       |Naproxen Bp                                                                                                                                                                                                                                                                                                                                                                                                                                 |1                    |9                         |
|2,020       |Salmeterol                                                                                                                                                                                                                                                                                                                                                                                                                                  |1                    |56                        |
|2,039       |Roxithromycin                                                                                                                                                                                                                                                                                                                                                                                                                               |1                    |45                        |
|2,100       |Dry Extract From Devil's Claw Root Corresponding To 720 - 1440 Mg Of Dried Root, Extraction Solvent: 60% (V/V)                                                                                                                                                                                                                                                                                                                              |1                    |1                         |
|2,186       |Dimenhydrinate                                                                                                                                                                                                                                                                                                                                                                                                                              |1                    |77                        |
|2,195       |Glycopyrronium                                                                                                                                                                                                                                                                                                                                                                                                                              |1                    |2                         |
|2,431       |Docetaxel                                                                                                                                                                                                                                                                                                                                                                                                                                   |1                    |86                        |
|2,572       |Bexarotene                                                                                                                                                                                                                                                                                                                                                                                                                                  |1                    |13                        |
|2,636       |Kalium Bromatum D12                                                                                                                                                                                                                                                                                                                                                                                                                         |1                    |1                         |
|2,796       |Betulae Folium, Solidaginis Herba, Orthosiphon Folium                                                                                                                                                                                                                                                                                                                                                                                       |1                    |1                         |
|2,863       |2,4 Dichlorobenzyl Alcohol, Cetrimide Ph. Eur., Allantoin Bp                                                                                                                                                                                                                                                                                                                                                                                |1                    |1                         |
|2,914       |Urticae Folium                                                                                                                                                                                                                                                                                                                                                                                                                              |1                    |15                        |
|2,944       |Bromocriptine Mesilate                                                                                                                                                                                                                                                                                                                                                                                                                      |1                    |18                        |
|2,974       |Hyoscyamus Niger Dil. D4, Bryonia Dil. D4, Drosera Dil. D4, Grindelia Robusta Dil. D4                                                                                                                                                                                                                                                                                                                                                       |1                    |2                         |
|3,079       |Paracetamol, Hyoscine Butylbromide                                                                                                                                                                                                                                                                                                                                                                                                          |1                    |16                        |
|3,107       |Calcium, Cholecalciferol Concentrate                                                                                                                                                                                                                                                                                                                                                                                                        |1                    |2                         |
|3,128       |Salviae Herba                                                                                                                                                                                                                                                                                                                                                                                                                               |1                    |2                         |
|3,137       |Zinc Oxide Bp, Calamine Bp, Liquefied Phenol Bp, Glycerin Bp                                                                                                                                                                                                                                                                                                                                                                                |1                    |1                         |
|3,286       |Soft Extract From Capsicum (Der 2.8-4.9: 1), Corresponding To 53 Mg Of Capsaicinoids, Calculated As Capsaicin, Extraction Solvent: Ethanol 80% (V/V)                                                                                                                                                                                                                                                                                        |1                    |1                         |
|3,379       |Indigo Carmine                                                                                                                                                                                                                                                                                                                                                                                                                              |1                    |21                        |
|3,422       |Chlorhexidine Dihydrochloride, Diphenhydramine Hydrochloride                                                                                                                                                                                                                                                                                                                                                                                |1                    |1                         |
|3,476       |Zinc Gluconate                                                                                                                                                                                                                                                                                                                                                                                                                              |1                    |15                        |
|3,533       |Arnica Montana E Planta Tota Ferm 33c Dil. D5 (Hab, Vs. 33c), Apatit Dil. D6, Cerebellum Bovis Gl Dil. D7 (Hab, Vs. 41a), Conchae Dil. D5, Levisticum Officinale E Radice Ferm 33c Dil. D5 (Hab, Vs. 33c), Natrium Carbonicum Dil. D5 Aquos. (Hab, Vs. 5b), Skorodit Dil. D6, Orchis E Tubere, Decoctum Dil. D7 (Hab, Vs. 23a)                                                                                                              |1                    |1                         |
|3,577       |Paraffin, Light Liquid                                                                                                                                                                                                                                                                                                                                                                                                                      |1                    |12                        |
|3,651       |Chlorhexidine Gluconate, Chlorobutanol Hemihydrate                                                                                                                                                                                                                                                                                                                                                                                          |1                    |1                         |
|3,888       |Tolfenamic Acid                                                                                                                                                                                                                                                                                                                                                                                                                             |1                    |5                         |
|3,927       |Coal Tar Solution, Salicylic Acid, Sulfur                                                                                                                                                                                                                                                                                                                                                                                                   |1                    |2                         |
|4,113       |Mannitol, Histidine, Histidine Hydrochloride Monohydrate, Tryptophan, Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate, Oxogluric Acid                                                                                                                                                                                                                                                       |1                    |10                        |
|4,268       |Liquid Extract Of Dandelion Herb With Root, Liquid Extract From Boldo Leaf                                                                                                                                                                                                                                                                                                                                                                  |1                    |1                         |
|4,270       |Liothyronine Sodium                                                                                                                                                                                                                                                                                                                                                                                                                         |1                    |18                        |
|4,325       |Menthol, Camphor, Eucalyptus Oil                                                                                                                                                                                                                                                                                                                                                                                                            |1                    |1                         |
|4,342       |Potassium Chloride, Sodium Chloride, Sodium Citrate Dihydrate, Macrogol 4000                                                                                                                                                                                                                                                                                                                                                                |1                    |1                         |
|4,344       |Dextromethorphan Hydrobromide Monohydrate                                                                                                                                                                                                                                                                                                                                                                                                   |1                    |7                         |
|4,363       |Trimebutine Maleate, Medazepam                                                                                                                                                                                                                                                                                                                                                                                                              |1                    |1                         |
|4,387       |Benzocaine, Dequalinium Chloride                                                                                                                                                                                                                                                                                                                                                                                                            |1                    |1                         |
|4,400       |Cinchocaine Hydrochloride, Prednisolone Caproate                                                                                                                                                                                                                                                                                                                                                                                            |1                    |12                        |
|4,429       |Levomenthol, Coal Tar Solution                                                                                                                                                                                                                                                                                                                                                                                                              |1                    |1                         |
|4,480       |Hypericum Herb Dry Extract, Quantified                                                                                                                                                                                                                                                                                                                                                                                                      |1                    |1                         |
|4,553       |Netilmicin Sulfate, Dexamethasone Disodium Phosphate                                                                                                                                                                                                                                                                                                                                                                                        |1                    |5                         |
|4,562       |Chlorphenamine Maleate, Dexamethasone Valerate                                                                                                                                                                                                                                                                                                                                                                                              |1                    |1                         |
|4,570       |Glucose, Anhydrous, Potassium Chloride, Sodium Chloride, Calcium Gluconate                                                                                                                                                                                                                                                                                                                                                                  |1                    |1                         |
|4,600       |Nifuroxazide                                                                                                                                                                                                                                                                                                                                                                                                                                |1                    |9                         |
|4,707       |Arnica Montana E Planta Tota Ferm 33c Dil. D19 (Hab, Vs. 33c), Aurum Metallicum Dil. D14 Aquos., Disci Intervertebrales Cervicales, Thoracici Et Lumbales Bovis Gl Dil. D7 (Hab, Vs. 41b), Formica Rufa Ex Animale Toto Gl Dil. D6 (Hab, Vs. 41c), Phyllostachys E Nodo Ferm 35c Dil. D5 (Hab, Vs. 35c)                                                                                                                                     |1                    |2                         |
|4,713       |Arnica Montana E Planta Tota Ferm 33c Dil. D1 (Hab, Vs. 33c), Argentum Metallicum Dil. D18 Aquos., Disci Intervertebrales Cervicales, Thoracici Et Lumbales Bovis Gl Dil. D3 (Hab, Vs. 41b), Formica Rufa Ex Animale Toto Gl Dil. D3 (Hab, Vs. 41c), Viscum Album (Mali) E Planta Tota Ferm 34i Dil. D4 (Hab, Vs. 34i), Phyllostachys E Nodo Ferm 35c Dil. D1 (Hab, Vs. 35c), Pulsatilla Vulgaris E Floribus Ferm 33c Dil. D2 (Hab, Vs. 33c)|1                    |1                         |
|4,732       |Disperse Orange 3                                                                                                                                                                                                                                                                                                                                                                                                                           |1                    |1                         |
|4,891       |Acidum Lacticum D6, Scrofularia Nodosa D6, Naja Naja D12                                                                                                                                                                                                                                                                                                                                                                                    |1                    |1                         |
|4,910       |Silicea D30, Hekla Lava E Lava D12, Calcium Carbonicum Hahnemanni D30, Calcium Fluoratum D12, Calcium Phosphoricum D12                                                                                                                                                                                                                                                                                                                      |1                    |1                         |
|4,978       |Naja Naja D8, Acidum Lacticum D4, Scrophularia Nodosa D3                                                                                                                                                                                                                                                                                                                                                                                    |1                    |1                         |
|5,168       |Tetracycline                                                                                                                                                                                                                                                                                                                                                                                                                                |1                    |11                        |
|5,182       |Reboxetine                                                                                                                                                                                                                                                                                                                                                                                                                                  |1                    |12                        |
