|Τμήμα        |Ημερομηνία|Βάρδια   |Κατηγορία           |Υποκατηγορία      |Αριθμός Προσωπικού|
|-------------|----------|---------|--------------------|------------------|------------------|
|Ακτινολογικό |2026-05-04|Morning  |Ιατρός              |Επείγοντα         |1                 |
|Γυναικολογικό|2026-05-04|Afternoon|Νοσηλευτής          |Νοσηλευτής        |1                 |
|Γυναικολογικό|2026-05-04|Morning  |Νοσηλευτής          |Νοσηλευτής        |1                 |
|Γυναικολογικό|2026-05-04|Night    |Νοσηλευτής          |Νοσηλευτής        |1                 |
|Επείγοντα    |2026-05-04|Morning  |Νοσηλευτής          |Βοηθός Νοσηλευτή  |1                 |
|Καρδιολογία  |2026-05-04|Morning  |Διοικητικό προσωπικό|Υπάλληλος Γραφείου|1                 |
|Ορθοπεδικό   |2026-05-04|Afternoon|Ιατρός              |ΜΕΘ               |1                 |
|Ορθοπεδικό   |2026-05-04|Morning  |Νοσηλευτής          |Βοηθός Νοσηλευτή  |1                 |
|Ουρολογικό   |2026-05-04|Afternoon|Ιατρός              |ΜΕΘ               |1                 |
|Οφθαλμολογικό|2026-05-04|Night    |Ιατρός              |Επείγοντα         |1                 |
|Παιδιατρικό  |2026-05-04|Afternoon|Ιατρός              |Χειρουργική       |1                 |
|Παιδιατρικό  |2026-05-04|Morning  |Νοσηλευτής          |Νοσηλευτής        |1                 |
|Χειρουργική  |2026-05-04|Morning  |Διοικητικό προσωπικό|Λογιστής          |1                 |
|Ψυχιατρικό   |2026-05-04|Morning  |Ιατρός              |Καρδιολογία       |1                 |
|ΩΡΛ          |2026-05-04|Afternoon|Νοσηλευτής          |Προϊστάμενος      |1                 |
|Ακτινολογικό |2026-05-05|Afternoon|Ιατρός              |Επείγοντα         |1                 |
|Επείγοντα    |2026-05-05|Morning  |Ιατρός              |Καρδιολογία       |1                 |
|ΜΕΘ          |2026-05-05|Afternoon|Διοικητικό προσωπικό|Υπάλληλος Γραφείου|1                 |
|ΜΕΘ          |2026-05-05|Night    |Νοσηλευτής          |Προϊστάμενος      |1                 |
|Ορθοπεδικό   |2026-05-05|Afternoon|Ιατρός              |Επείγοντα         |1                 |
|Ουρολογικό   |2026-05-05|Afternoon|Νοσηλευτής          |Νοσηλευτής        |1                 |
|Ουρολογικό   |2026-05-05|Night    |Νοσηλευτής          |Προϊστάμενος      |1                 |
|Παιδιατρικό  |2026-05-05|Afternoon|Νοσηλευτής          |Βοηθός Νοσηλευτή  |1                 |
|Παιδιατρικό  |2026-05-05|Morning  |Νοσηλευτής          |Προϊστάμενος      |1                 |
|Χειρουργική  |2026-05-05|Afternoon|Ιατρός              |Χειρουργική       |1                 |
|Ψυχιατρικό   |2026-05-05|Afternoon|Νοσηλευτής          |Προϊστάμενος      |1                 |
|ΩΡΛ          |2026-05-05|Morning  |Νοσηλευτής          |Προϊστάμενος      |1                 |
|Γυναικολογικό|2026-05-06|Afternoon|Ιατρός              |Χειρουργική       |1                 |
|Γυναικολογικό|2026-05-06|Night    |Νοσηλευτής          |Βοηθός Νοσηλευτή  |1                 |
|Επείγοντα    |2026-05-06|Afternoon|Ιατρός              |Καρδιολογία       |1                 |
|ΜΕΘ          |2026-05-06|Afternoon|Ιατρός              |Επείγοντα         |1                 |
|ΜΕΘ          |2026-05-06|Morning  |Ιατρός              |Επείγοντα         |1                 |
|ΜΕΘ          |2026-05-06|Night    |Ιατρός              |Επείγοντα         |1                 |
|Ουρολογικό   |2026-05-06|Morning  |Ιατρός              |ΜΕΘ               |1                 |
|Ουρολογικό   |2026-05-06|Night    |Διοικητικό προσωπικό|Υπάλληλος Γραφείου|1                 |
|Οφθαλμολογικό|2026-05-06|Afternoon|Νοσηλευτής          |Νοσηλευτής        |1                 |
|Οφθαλμολογικό|2026-05-06|Morning  |Ιατρός              |ΜΕΘ               |1                 |
|Παθολογικό   |2026-05-06|Afternoon|Ιατρός              |Καρδιολογία       |1                 |
|Χειρουργική  |2026-05-06|Afternoon|Νοσηλευτής          |Προϊστάμενος      |1                 |
|Ψυχιατρικό   |2026-05-06|Night    |Νοσηλευτής          |Βοηθός Νοσηλευτή  |1                 |
|Ακτινολογικό |2026-05-07|Morning  |Νοσηλευτής          |Προϊστάμενος      |1                 |
|Επείγοντα    |2026-05-07|Morning  |Ιατρός              |Καρδιολογία       |1                 |
|Επείγοντα    |2026-05-07|Night    |Νοσηλευτής          |Νοσηλευτής        |1                 |
|Καρδιολογία  |2026-05-07|Night    |Ιατρός              |Επείγοντα         |1                 |
|ΜΕΘ          |2026-05-07|Afternoon|Ιατρός              |Χειρουργική       |1                 |
|Ουρολογικό   |2026-05-07|Night    |Διοικητικό προσωπικό|Υπάλληλος Γραφείου|1                 |
|Παιδιατρικό  |2026-05-07|Night    |Νοσηλευτής          |Νοσηλευτής        |1                 |
|Χειρουργική  |2026-05-07|Afternoon|Ιατρός              |Καρδιολογία       |1                 |
|Χειρουργική  |2026-05-07|Morning  |Ιατρός              |Χειρουργική       |1                 |
|Χειρουργική  |2026-05-07|Night    |Νοσηλευτής          |Προϊστάμενος      |1                 |
|Ακτινολογικό |2026-05-08|Morning  |Ιατρός              |Επείγοντα         |1                 |
|Ακτινολογικό |2026-05-08|Night    |Νοσηλευτής          |Νοσηλευτής        |1                 |
|Γυναικολογικό|2026-05-08|Afternoon|Διοικητικό προσωπικό|Γραμματέας        |1                 |
|Επείγοντα    |2026-05-08|Afternoon|Νοσηλευτής          |Προϊστάμενος      |1                 |
|Καρδιολογία  |2026-05-08|Morning  |Διοικητικό προσωπικό|Γραμματέας        |1                 |
|ΜΕΘ          |2026-05-08|Morning  |Ιατρός              |Επείγοντα         |1                 |
|Ορθοπεδικό   |2026-05-08|Night    |Ιατρός              |ΜΕΘ               |1                 |
|Ουρολογικό   |2026-05-08|Morning  |Διοικητικό προσωπικό|Υπάλληλος Γραφείου|1                 |
|Οφθαλμολογικό|2026-05-08|Morning  |Ιατρός              |Χειρουργική       |1                 |
|Οφθαλμολογικό|2026-05-08|Night    |Ιατρός              |Καρδιολογία       |1                 |
|Παθολογικό   |2026-05-08|Morning  |Νοσηλευτής          |Προϊστάμενος      |1                 |
|Παιδιατρικό  |2026-05-08|Morning  |Νοσηλευτής          |Προϊστάμενος      |1                 |
|Χειρουργική  |2026-05-08|Afternoon|Διοικητικό προσωπικό|Υπάλληλος Γραφείου|1                 |
|Χειρουργική  |2026-05-08|Morning  |Ιατρός              |Επείγοντα         |1                 |
|Χειρουργική  |2026-05-08|Night    |Ιατρός              |Καρδιολογία       |1                 |
|Ψυχιατρικό   |2026-05-08|Afternoon|Νοσηλευτής          |Βοηθός Νοσηλευτή  |1                 |
|Ψυχιατρικό   |2026-05-08|Night    |Νοσηλευτής          |Νοσηλευτής        |1                 |
|Γυναικολογικό|2026-05-09|Morning  |Νοσηλευτής          |Βοηθός Νοσηλευτή  |1                 |
