|Επίπεδο Επείγοντος|Σύνολο Περιστατικών|Μέσος Χρόνος Αναμονής (σε λεπτά)|Ποσοστό Νοσηλείας|Τμήμα Παραπομπής|Παραπομπές σε τμήμα|
|------------------|-------------------|--------------------------------|-----------------|----------------|-------------------|
|1                 |100                |33.4                            |100              |Ακτινολογικό    |7                  |
|1                 |100                |33.4                            |100              |Γυναικολογικό   |6                  |
|1                 |100                |33.4                            |100              |Δερματολογικό   |2                  |
|1                 |100                |33.4                            |100              |Επείγοντα       |4                  |
|1                 |100                |33.4                            |100              |Καρδιολογία     |8                  |
|1                 |100                |33.4                            |100              |ΜΕΘ             |8                  |
|1                 |100                |33.4                            |100              |Νευρολογικό     |9                  |
|1                 |100                |33.4                            |100              |Ορθοπεδικό      |8                  |
|1                 |100                |33.4                            |100              |Ουρολογικό      |8                  |
|1                 |100                |33.4                            |100              |Οφθαλμολογικό   |5                  |
|1                 |100                |33.4                            |100              |Παθολογικό      |7                  |
|1                 |100                |33.4                            |100              |Παιδιατρικό     |10                 |
|1                 |100                |33.4                            |100              |Χειρουργική     |4                  |
|1                 |100                |33.4                            |100              |Ψυχιατρικό      |8                  |
|1                 |100                |33.4                            |100              |ΩΡΛ             |6                  |
|2                 |88                 |32.5                            |100              |Ακτινολογικό    |7                  |
|2                 |88                 |32.5                            |100              |Γυναικολογικό   |8                  |
|2                 |88                 |32.5                            |100              |Δερματολογικό   |7                  |
|2                 |88                 |32.5                            |100              |Επείγοντα       |6                  |
|2                 |88                 |32.5                            |100              |Καρδιολογία     |6                  |
|2                 |88                 |32.5                            |100              |ΜΕΘ             |4                  |
|2                 |88                 |32.5                            |100              |Νευρολογικό     |5                  |
|2                 |88                 |32.5                            |100              |Ορθοπεδικό      |9                  |
|2                 |88                 |32.5                            |100              |Ουρολογικό      |6                  |
|2                 |88                 |32.5                            |100              |Οφθαλμολογικό   |5                  |
|2                 |88                 |32.5                            |100              |Παθολογικό      |7                  |
|2                 |88                 |32.5                            |100              |Παιδιατρικό     |7                  |
|2                 |88                 |32.5                            |100              |Χειρουργική     |1                  |
|2                 |88                 |32.5                            |100              |Ψυχιατρικό      |4                  |
|2                 |88                 |32.5                            |100              |ΩΡΛ             |6                  |
|3                 |108                |33.8                            |100              |Ακτινολογικό    |12                 |
|3                 |108                |33.8                            |100              |Γυναικολογικό   |9                  |
|3                 |108                |33.8                            |100              |Δερματολογικό   |5                  |
|3                 |108                |33.8                            |100              |Επείγοντα       |9                  |
|3                 |108                |33.8                            |100              |Καρδιολογία     |5                  |
|3                 |108                |33.8                            |100              |ΜΕΘ             |8                  |
|3                 |108                |33.8                            |100              |Νευρολογικό     |6                  |
|3                 |108                |33.8                            |100              |Ορθοπεδικό      |7                  |
|3                 |108                |33.8                            |100              |Ουρολογικό      |5                  |
|3                 |108                |33.8                            |100              |Οφθαλμολογικό   |7                  |
|3                 |108                |33.8                            |100              |Παθολογικό      |7                  |
|3                 |108                |33.8                            |100              |Παιδιατρικό     |4                  |
|3                 |108                |33.8                            |100              |Χειρουργική     |11                 |
|3                 |108                |33.8                            |100              |Ψυχιατρικό      |8                  |
|3                 |108                |33.8                            |100              |ΩΡΛ             |5                  |
|4                 |98                 |36.3                            |100              |Ακτινολογικό    |5                  |
|4                 |98                 |36.3                            |100              |Γυναικολογικό   |7                  |
|4                 |98                 |36.3                            |100              |Δερματολογικό   |3                  |
|4                 |98                 |36.3                            |100              |Επείγοντα       |6                  |
|4                 |98                 |36.3                            |100              |Καρδιολογία     |9                  |
|4                 |98                 |36.3                            |100              |ΜΕΘ             |6                  |
|4                 |98                 |36.3                            |100              |Νευρολογικό     |6                  |
|4                 |98                 |36.3                            |100              |Ορθοπεδικό      |11                 |
|4                 |98                 |36.3                            |100              |Ουρολογικό      |5                  |
|4                 |98                 |36.3                            |100              |Οφθαλμολογικό   |12                 |
|4                 |98                 |36.3                            |100              |Παθολογικό      |2                  |
|4                 |98                 |36.3                            |100              |Παιδιατρικό     |7                  |
|4                 |98                 |36.3                            |100              |Χειρουργική     |6                  |
|4                 |98                 |36.3                            |100              |Ψυχιατρικό      |6                  |
|4                 |98                 |36.3                            |100              |ΩΡΛ             |7                  |
|5                 |106                |33.6                            |100              |Ακτινολογικό    |7                  |
|5                 |106                |33.6                            |100              |Γυναικολογικό   |5                  |
|5                 |106                |33.6                            |100              |Δερματολογικό   |13                 |
|5                 |106                |33.6                            |100              |Επείγοντα       |9                  |
|5                 |106                |33.6                            |100              |Καρδιολογία     |3                  |
|5                 |106                |33.6                            |100              |ΜΕΘ             |6                  |
|5                 |106                |33.6                            |100              |Νευρολογικό     |8                  |
|5                 |106                |33.6                            |100              |Ορθοπεδικό      |9                  |
|5                 |106                |33.6                            |100              |Ουρολογικό      |8                  |
|5                 |106                |33.6                            |100              |Οφθαλμολογικό   |5                  |
|5                 |106                |33.6                            |100              |Παθολογικό      |3                  |
|5                 |106                |33.6                            |100              |Παιδιατρικό     |8                  |
|5                 |106                |33.6                            |100              |Χειρουργική     |8                  |
|5                 |106                |33.6                            |100              |Ψυχιατρικό      |5                  |
|5                 |106                |33.6                            |100              |ΩΡΛ             |9                  |
